"ID","URL","Title","Slug","Lang","YoastTitle","YoastDesc","ContentPreview","Parent","Type"
"7143","https://enorpa.com/tr/brulorler/","Brülörler","brulorler",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#151519&#8243; scene_po...","0","page"
"7159","https://enorpa.com/tr/riello/","Riello","riello",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; equal_height=&#8221;yes&#8221; content_placement=&#8221;middle&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_directi...","0","page"
"7160","https://enorpa.com/tr/ecostar/","Ecostar","ecostar",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; equal_height=&#8221;yes&#8221; content_placement=&#8221;middle&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_directi...","0","page"
"7161","https://enorpa.com/tr/ecoflam/","Ecoflam","ecoflam",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; equal_height=&#8221;yes&#8221; content_placement=&#8221;middle&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_directi...","0","page"
"7177","https://enorpa.com/tr/yedek-parca/","Yedek Parça","yedek-parca",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"7187","https://enorpa.com/tr/ekonomizer/","Ekonomizer","ekonomizer",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"7194","https://enorpa.com/tr/baca/","Baca","baca",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#151519&#8243; scene_po...","0","page"
"7202","https://enorpa.com/tr/cift-cidarli-baca/","Çift Cidarlı Baca","cift-cidarli-baca",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; equal_height=&#8221;yes&#8221; content_placement=&#8221;middle&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_directi...","0","page"
"7231","https://enorpa.com/tr/kondenser/","Kondenser","kondenser",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"7237","https://enorpa.com/tr/kazan-kontrol-panosu/","Kazan Kontrol Panosu","kazan-kontrol-panosu",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"7248","https://enorpa.com/tr/kazan-otomasyon-sistemi/","Kazan Otomasyon Sistemi","kazan-otomasyon-sistemi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"7392","https://enorpa.com/tr/tek-cidarli-baca/","Tek Cidarlı Baca","tek-cidarli-baca",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; equal_height=&#8221;yes&#8221; content_placement=&#8221;middle&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_directi...","0","page"
"8026","https://enorpa.com/tr/kat-kaloriferi/","Kat Kaloriferi","kat-kaloriferi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"8056","https://enorpa.com/en/","Home","homepage",,"","","[vc_row type=&#8221;full_width_content&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; scene_position=&#8221;center&#8221; text_c...","0","page"
"8073","https://enorpa.com/en/about-us/","About Us","about-us",,"","","[vc_row type=&#8221;full_width_content&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_image=&#8221;6141&#8243; bg_position=&#...","0","page"
"8084","https://enorpa.com/en/contact/","Contact","contact",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_image=&#8221;6141&#8243; bg_position...","0","page"
"8092","https://enorpa.com/en/products/","Products","products",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#151519&#8243; scene_po...","0","page"
"8124","https://enorpa.com/en/projects/","Projects","projects",,"","","[vc_row type=&#8221;full_width_content&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_image=&#8221;6141&#8243; bg_position=&#...","0","page"
