"Site Crawled","https://enorpa.com/"
"Start Date","2026-06-28"
"Start Time","20:08:45"
"Last Modified Date","2026-06-28"
"Last Modified Time","20:10:00"
"Elapsed","00:01:14"
"Report Date","2026-06-28"
"Report Time","20:10:15"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"NoTranslate","0","0,00%","380","Internal URLs with 2xx response"
"Unavailable_After","0","0,00%","380","Internal URLs with 2xx response"
"Refresh","0","0,00%","178","Internal HTML pages with 2xx response"
"Outside <head>","0","0,00%","380","Internal URLs with 2xx response"
""
"Hreflang"
"All","137","100,00%","137","Internal pages with 2xx response"
"Contains hreflang","113","82,48%","137","Internal pages with 2xx response"
"Non-200 hreflang URLs","3","2,19%","137","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0,00%","137","Internal pages with 2xx response"
"Missing Return Links","0","0,00%","137","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0,00%","137","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0,00%","137","Internal pages with 2xx response"
"Noindex Return Links","3","2,19%","137","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0,00%","137","Internal pages with 2xx response"
"Multiple Entries","0","0,00%","137","Internal pages with 2xx response"
"Missing Self Reference","0","0,00%","137","Internal pages with 2xx response"
"Not Using Canonical","0","0,00%","137","Internal pages with 2xx response"
"Missing X-Default","110","80,29%","137","Internal pages with 2xx response"
"Missing","0","0,00%","137","Internal pages with 2xx response"
"Outside <head>","0","0,00%","137","Internal pages with 2xx response"
""
"JavaScript"
"All","137","100,00%","137","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0,00%","137","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0,00%","137","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0,00%","137","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0,00%","137","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0,00%","137","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0,00%","137","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0,00%","137","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0,00%","137","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0,00%","137","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0,00%","137","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0,00%","137","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0,00%","137","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0,00%","137","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0,00%","137","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0,00%","137","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0,00%","137","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0,00%","137","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0,00%","137","Internal HTML pages with 2xx response"
""
"Links"
"All","137","100,00%","137","Internal HTML pages with 2xx response"
"Pages With Uncrawlable Internal Outlinks","0","0,00%","137","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0,00%","137","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0,00%","137","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","9","6,57%","137","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","78","56,93%","137","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","0","0,00%","137","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","2","1,46%","137","Internal HTML pages with 2xx response"
